epoch,accuracy,loss,val_accuracy,val_loss
0,0.3174647092819214,1.3597753047943115,0.3285302519798279,1.3753526210784912
1,0.3288126289844513,1.3458352088928223,0.33141210675239563,1.3689674139022827
2,0.34154441952705383,1.340261697769165,0.3285302519798279,1.3760422468185425
3,0.34292832016944885,1.339240312576294,0.3342939615249634,1.3748871088027954
4,0.3448657691478729,1.3356341123580933,0.32276657223701477,1.3761835098266602
5,0.3434818685054779,1.3339015245437622,0.32276657223701477,1.3760387897491455
6,0.33517852425575256,1.3313488960266113,0.3256484270095825,1.3848578929901123
7,0.3445889949798584,1.331134557723999,0.33141210675239563,1.3791264295578003
8,0.3490174412727356,1.3291215896606445,0.319884717464447,1.3780766725540161
9,0.3479103147983551,1.328053593635559,0.3285302519798279,1.3800044059753418
10,0.3526155650615692,1.3257884979248047,0.32276657223701477,1.3812521696090698
11,0.346803218126297,1.3252731561660767,0.33717578649520874,1.3832505941390991
12,0.3570440113544464,1.3235201835632324,0.3400576412677765,1.3847609758377075
13,0.3490174412727356,1.323081135749817,0.34293949604034424,1.386273980140686
14,0.36091890931129456,1.3192013502120972,0.34293949604034424,1.3844225406646729
15,0.3567672371864319,1.3201055526733398,0.3256484270095825,1.3836818933486938
16,0.36091890931129456,1.3184723854064941,0.3285302519798279,1.3864754438400269
17,0.3567672371864319,1.319475531578064,0.3458213210105896,1.3808919191360474
18,0.35649046301841736,1.3153177499771118,0.3285302519798279,1.37782621383667
19,0.36534735560417175,1.311948299407959,0.3285302519798279,1.3800832033157349
