epoch,accuracy,loss,val_accuracy,val_loss
0,0.3512316644191742,1.3374488353729248,0.4639769494533539,1.2900563478469849
1,0.642956018447876,0.9989821910858154,0.6858789920806885,0.889508068561554
2,0.7907556295394897,0.5796483159065247,0.7002881765365601,0.7613155245780945
3,0.8499861359596252,0.41182589530944824,0.7031700015068054,0.7909380793571472
4,0.8820924162864685,0.33233803510665894,0.6945244669914246,0.8062577843666077
5,0.9047882556915283,0.2683161199092865,0.7002881765365601,0.8735955953598022
6,0.9258233904838562,0.22372576594352722,0.6945244669914246,0.9324641823768616
7,0.9396623373031616,0.18877926468849182,0.6916426420211792,0.9982357025146484
8,0.947135329246521,0.16386453807353973,0.6945244669914246,1.0315245389938354
9,0.9562690258026123,0.1426549106836319,0.7031700015068054,1.0916736125946045
10,0.9606974720954895,0.12435370683670044,0.6829971075057983,1.1599512100219727
11,0.9648491740226746,0.11468667536973953,0.7002881765365601,1.1962164640426636
12,0.9659562706947327,0.10550639033317566,0.6974063515663147,1.2502630949020386
13,0.9681705236434937,0.09890203177928925,0.6916426420211792,1.2591744661331177
14,0.9712150692939758,0.08806023001670837,0.6916426420211792,1.3132671117782593
15,0.9706615209579468,0.08941934257745743,0.6945244669914246,1.3370188474655151
16,0.9731525182723999,0.08309552073478699,0.6945244669914246,1.381469488143921
17,0.973429262638092,0.0737088993191719,0.6945244669914246,1.4075429439544678
18,0.9748131632804871,0.07651468366384506,0.7031700015068054,1.4421817064285278
19,0.9753667116165161,0.07102616131305695,0.7031700015068054,1.503973126411438
